Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2019-01-08,41728,60469,298218,654,23
2019-01-09,44882,63480,298263,646,23
2019-01-10,39449,53225,298299,478,13
2019-01-11,33196,44226,298331,465,23
2019-01-12,25431,35133,298361,772,26
2019-01-13,23020,33018,298399,700,18
2019-01-14,35408,48021,298439,402,9
2019-01-15,39538,54751,298470,511,19
2019-01-16,40854,56553,298510,513,7
2019-01-17,39417,53430,298546,463,14
2019-01-18,34478,47215,298574,542,27
2019-01-19,23933,34580,298595,865,28
2019-01-20,14440,19131,298616,368,8
2019-01-21,10392,11911,298632,141,5
2019-01-22,28913,37788,298665,315,14
2019-01-23,42028,59442,298692,526,10
2019-01-24,20328,27931,298721,260,7
2019-01-25,39298,54567,298748,621,21
2019-01-26,26607,38634,298778,933,18
2019-01-27,30338,48280,298828,1510,19
2019-01-28,36173,49109,298878,448,13
2019-01-29,31355,42066,298919,341,12
2019-01-30,25496,33178,298947,263,8
2019-01-31,18882,22917,298975,186,8
2019-02-01,25289,31752,298998,255,11
2019-02-02,22280,30802,299032,627,19
2019-02-03,32274,52757,299103,1743,24
2019-02-04,47049,73262,299172,1180,42
2019-02-05,54710,87917,299249,1770,42
2019-02-06,39616,55696,299296,754,27
2019-02-07,43840,62728,299341,765,22
2019-02-08,36964,52442,299383,864,22
2019-02-09,24041,33607,299409,811,10
2019-02-10,24434,35873,299449,935,6
2019-02-11,39197,54362,299493,563,20
2019-02-12,16044,22190,299521,150,4
2019-02-13,35523,48870,299551,439,21
2019-02-14,42313,61381,299589,773,26
2019-02-15,47524,74286,299633,1590,58
2019-02-16,31347,52760,299683,2030,58
2019-02-17,24287,39660,299711,1439,30
2019-02-18,26176,37500,299757,810,17
2019-02-19,35226,49024,299810,595,10
2019-02-20,20694,28763,299835,221,15
2019-02-21,40082,60375,299871,961,37
2019-02-22,42338,61956,299913,1097,49
2019-02-23,31956,49887,299956,1635,28
2019-02-24,24503,37473,299993,992,19
2019-02-25,34736,47207,300029,495,14
2019-02-26,38126,52805,300067,524,23
2019-02-27,37028,48666,300097,464,27
2019-02-28,38784,53031,300157,652,30
2019-03-01,30242,41583,300183,522,26
2019-03-02,18001,27381,300213,570,25
2019-03-03,23240,35764,300264,1115,22
2019-03-04,28424,39154,300319,563,23
2019-03-05,37103,50155,300367,552,24
2019-03-06,33287,42845,300409,376,27
2019-03-07,35913,46582,300450,468,15
2019-03-08,40416,55748,300503,852,32
2019-03-09,38929,68739,300574,3010,35
2019-03-10,18897,28056,300611,662,16
2019-03-11,52412,80705,300691,1749,56
2019-03-12,47214,66518,300757,1003,40
2019-03-13,50121,71552,300825,1194,42
2019-03-14,57464,86864,300904,1826,82
